body,phase,phase_timesteps,lineage_timesteps,mean_return,std_return,min_return,max_return,mean_steps,mean_displacement,mean_speed,mean_final_x,mean_max_x,mean_obstacles_cleared,mean_obstacle_fraction,success_rate
Original body (4 actuators),movable_training_v5_rechecked,80000,80000,1.0016803545431674,0.0,1.0016803545431674,1.0016803545431674,1200.0,0.7534161226860934,0.0006278467689050778,1.2034161226860933,1.2144697963360602,0.0,0.0,0.0
Original body (4 actuators),movable_training_v5_rechecked,85000,85000,0.27500849632218743,0.0,0.27500849632218743,0.27500849632218743,1200.0,0.27500849632218743,0.0002291737469351562,0.7250084963221874,0.745802170323218,0.0,0.0,0.0
Original body (4 actuators),movable_training_v5_rechecked,90000,90000,3.8070212512345307,0.0,3.8070212512345307,3.8070212512345307,1200.0,1.5281799337394326,0.0012734832781161939,1.9781799337394326,1.9881132511416069,1.0,0.14285714285714285,0.0
Original body (4 actuators),movable_training_v5_rechecked,95000,95000,0.40451633764207434,0.0,0.40451633764207434,0.40451633764207434,1200.0,0.40451633764207434,0.00033709694803506197,0.8545163376420744,0.8681097423581919,0.0,0.0,0.0
Original body (4 actuators),movable_training_v5_rechecked,100000,100000,4.054616349664906,0.0,4.054616349664906,4.054616349664906,1200.0,1.6450142098735416,0.001370845174894618,2.0950142098735416,2.099159705389406,1.0,0.14285714285714285,0.0
Original body (4 actuators),movable_training_v5_rechecked,105000,105000,0.43056738231786723,0.0,0.43056738231786723,0.43056738231786723,1200.0,0.43056738231786723,0.000358806151931556,0.8805673823178672,0.8911517434338341,0.0,0.0,0.0
Original body (4 actuators),movable_training_v5_rechecked,110000,110000,7.802013892169505,0.0,7.802013892169505,7.802013892169505,1200.0,2.77533212942231,0.0023127767745185915,3.22533212942231,3.22533212942231,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,115000,115000,7.403156674450948,0.0,7.403156674450948,7.403156674450948,1200.0,2.726838036600812,0.002272365030500677,3.176838036600812,3.176838036600812,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,120000,120000,7.267729290621087,0.0,7.267729290621087,7.267729290621087,1200.0,2.4326712070957055,0.0020272260059130878,2.8826712070957057,2.8826712070957057,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,125000,125000,4.526243719212852,0.0,4.526243719212852,4.526243719212852,1200.0,1.8748828152959278,0.00156240234607994,2.3248828152959278,2.3309543045572756,1.0,0.14285714285714285,0.0
Original body (4 actuators),movable_training_v5_rechecked,130000,130000,7.707882927961217,0.0,7.707882927961217,7.707882927961217,1200.0,2.7661161871081927,0.0023050968225901605,3.216116187108193,3.216116187108193,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,135000,135000,7.284374543087054,0.0,7.284374543087054,7.284374543087054,1200.0,2.5345835510570893,0.002112152959214241,2.9845835510570895,2.9845835510570895,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,140000,140000,7.244131531708192,0.0,7.244131531708192,7.244131531708192,1200.0,2.4339653848763256,0.0020283044873969382,2.883965384876326,2.883965384876326,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,145000,145000,7.508294838286062,0.0,7.508294838286062,7.508294838286062,1200.0,2.576730970082798,0.0021472758084023318,3.0267309700827982,3.0267309700827982,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,150000,150000,7.923840049164188,0.0,7.923840049164188,7.923840049164188,1200.0,2.7722490971451865,0.0023102075809543223,3.2222490971451867,3.2222490971451867,2.0,0.2857142857142857,0.0
